ID,Link,Question Title,Section,Subject,Difficulty,Others' Pace
411172080,/answers/411172080,Ratio and its reciprocal,Problem Solving,Word Problems,Hard,1:11
411172961,/answers/411172961,Asteroid close to Earth,Sentence Correction,Logical Predication,Hard,1:49
411173091,/answers/411173091,Zenith University,Critical Reasoning,Strengthening,Hard,1:41
411173297,/answers/411173297,Outsourcing,Reading Comprehension,,Medium,1:54
411173468,/answers/411173468,Outsourcing,Reading Comprehension,,Medium,1:56
411173533,/answers/411173533,Outsourcing,Reading Comprehension,,Hard,3:29
411173603,/answers/411173603,Outsourcing,Reading Comprehension,,Very Hard,1:29
411173864,/answers/411173864,The People's Republic of China,Sentence Correction,Grammatical Construction,Medium,1:20
411174887,/answers/411174887,QuikFashion Month-Long Sale,Critical Reasoning,Evaluating,Medium,1:35
411176292,/answers/411176292,A highly educated member,Sentence Correction,Diction,Medium,1:19
411183614,/answers/411183614,As contrasted with landlocked,Sentence Correction,Parallelism,Medium,0:50
411184022,/answers/411184022,"Recently, a team of scientists digging through",Critical Reasoning,Flawed Argument,Medium,2:05
411186054,/answers/411186054,Asteroids,Reading Comprehension,Long Passages,Medium,1:51
411187246,/answers/411187246,Asteroids,Reading Comprehension,Long Passages,Medium,1:47
411188001,/answers/411188001,Four hours before completion,Problem Solving,Word Problems,Hard,3:36
411188141,/answers/411188141,Carlos decreased his daily,Problem Solving,Percents and Ratios,Hard,2:03
411188574,/answers/411188574,Pets,Problem Solving,Statistics,Hard,2:56
411190838,/answers/411190838,While many people believe,Sentence Correction,"Idioms, Diction",Medium,1:16
411191323,/answers/411191323,"According to Federal VA, hospitals",Critical Reasoning,Paradox,Medium,2:37
411197515,/answers/411197515,100 Feet in 2 Seconds,Problem Solving,Word Problems,Hard,2:24
411198024,/answers/411198024,The missing 3's,Problem Solving,Counting,Hard,2:11
411198433,/answers/411198433,Variable bases,Data Sufficiency,Powers and Roots,Hard,1:51
411198436,/answers/411198436,Driving 280 kilometers,Problem Solving,Word Problems,Hard,3:59
411199195,/answers/411199195,On a long drive,Problem Solving,Word Problems,Hard,4:01
411199242,/answers/411199242,Water Alcohol Mixture,Problem Solving,Word Problems,Hard,2:12
411200615,/answers/411200615,Square in circle,Problem Solving,Geometry,Hard,2:15
411200942,/answers/411200942,DS Geometry Questions Quiz #2,Math Lesson Quizzes,DS Geometry Questions,Hard,1:21
411200943,/answers/411200943,DS Geometry Questions Quiz #2,Math Lesson Quizzes,DS Geometry Questions,Hard,1:26
411200947,/answers/411200947,China was united under,Sentence Correction,Verb Form,Medium,1:13
411201317,/answers/411201317,Equilateral in Square,Data Sufficiency,Geometry,Hard,2:07
